Artist ID,Name,Nationality,Birth Year,Work Count
173,Farnese de Andrade-Neto,Brazilian,1926.0,2
174,Carl Andre,American,1935.0,79
175,Pat Andrea,Dutch,1942.0,2
176,A. Andreas,French,,1
177,Henning Andreasen,Danish,1923.0,6
178,Laura Andreson,American,1902.0,1
179,Mariano Andreù,Spanish,1901.0,2
180,Benny Andrews,American,1930.0,6
181,Emmy Andriesse,Dutch,1914.0,13
182,Claudia Andujar,American,1931.0,8
183,Manuel Angeles Ortiz,Spanish,1895.0,10
184,Ludwig Angerer,Austrian,1827.0,1
185,Bruce Angrave,British,,1
186,Raúl Anguiano,Mexican,1915.0,19
188,Sibyl Anikeef,American,1896.0,1
189,James Craig Annan,British,1864.0,1
190,Thomas Annan,British,1829.0,51
193,David Annesley,British,1936.0,1
194,Horst Antes,German,1936.0,82
195,William Anthony,American,1934.0,2
196,Stephen Antonakos,American,1926.0,67
198,Garo Antreasian,American,1922.0,79
199,Nemesio Antúnez,Chilean,1918.0,15
200,Richard Anuszkiewicz,American,1930.0,29
201,Aoki Toshio,,,1
202,Carl Apfelschnitt,American,1948.0,6
203,Karel Appel,Dutch,1921.0,18
204,Leon Appelbaum,American,,1
205,Ida Applebroog,American,1929.0,19
207,Shusaku Arakawa,American,1936.0,30
208,Diane Arbus,American,1923.0,83
209,Aleksandr Archipenko,American,1887.0,39
211,Mordecai Ardon,Israeli,1896.0,2
212,Luis Arenal,Mexican,1909.0,4
214,Egmont Arens,American,1888.0,1
215,Tamotsu Arikawa,Japanese,,2
216,Avigdor Arikha,Romanian,1929.0,4
217,Gonzalo Ariza,Colombian,1912.0,1
218,Alda Maria Armagni,Argentine,,1
219,Siah Armajani,American,1939.0,9
220,Arman,American,1928.0,31
221,Armando,Dutch,1929.0,2
222,F. Armbruster,Nationality unknown,,1
224,Kenneth Armitage,British,1916.0,4
225,John Taylor Arms,American,1887.0,2
226,John Armstrong,British,1893.0,5
227,François Arnal,French,1924.0,3
228,Arndt,German,1898.0,1
229,Eugène Atget,French,1857.0,5050
230,John Atherton,American,1900.0,4
231,Anna Atkins,British,1797.0,2
232,Conrad Atkinson,British,1940.0,1
233,Lawrence Atkinson,British,1873.0,1
234,Terry Atkinson,British,1939.0,12
235,Jean-Michel Atlan,French,1913.0,20
236,Dotty Attie,American,1938.0,4
238,Carl Auböck,Austrian,1924.0,7
239,Charles Aubry,French,1811.0,2
240,Frank Auerbach,British,1931.0,5
241,Gae Aulenti,Italian,1930.0,1
242,Keith James Aulik,Nationality unknown,,1
243,George Ault,American,1891.0,3
244,Darrel Austin,American,1907.0,1
245,Irving Austin,American,,1
246,Mario Avati,Italian,1921.0,14
247,Edward Avedisian,American,1936.0,1
248,Richard Avedon,American,1923.0,76
249,Frances Avery,American,1910.0,1
250,Milton Avery,American,1885.0,8
251,David Avison,American,,1
252,Mordechai Avniel,Israeli,,1
254,Kiyoshi Awazu,Japanese,1929.0,7
255,Ay-O,Japanese,1931.0,98
256,Alice Aycock,American,1946.0,7
257,Pierre Ayot,Canadian,1943.0,1
258,Michael Ayrton,British,1921.0,19
259,Luis Cruz Azaceta,American,1942.0,4
260,Umetaro Azechi,Japanese,1902.0,7
261,Kengiro Azuma,Japanese,1926.0,2
262,Johannes Baader,German,1875.0,3
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,1892.0,4
264,Kurt W. Baasch,American,1891.0,19
265,Alice Baber,American,1928.0,2
266,Bacard Fils,French,,1
268,Edmondo Bacci,Italian,1913.0,1
269,Elvira Bach,German,1951.0,1
270,Olof Backman,Swedish,1899.0,1
271,Olof Backstrom,Finnish,1922.0,1
272,Francis Bacon,British,1909.0,5
273,Peggy Bacon,American,1895.0,37
275,Karl Baden,American,1952.0,1
276,Mowry Thatcher Baden,American,1936.0,1
277,Aquiles Badi,Argentine,1894.0,1
278,Libero Badii,Argentine,1916.0,33
279,Frank Badur,German,1944.0,12
280,Donald Baechler,American,1956.0,23
281,Jo Baer,American,1929.0,25
282,Martin Baer,American,1894.0,1
283,Olle Baertling,Swedish,1911.0,2
284,Myrna Báez,American,1931.0,1
285,John Bageris,American,1924.0,2
286,Heinz Bahr,German,1934.0,1
287,Malcolm Bailey,American,1947.0,2
288,Oscar Bailey,American,1925.0,3
289,William Bailey,American,1930.0,4
290,Larry Bair,American,1952.0,2
291,Eugenie Baizerman,American,1899.0,1
292,Enrico Baj,Italian,1924.0,57
293,E. Bakalowitz Söhne,Austrian,1845.0,1
294,Carl Baker,American,,2
296,Mikal Baker,American,1946.0,1
298,Vagrich Bakhchanyan,Russian,1938.0,2
299,Gerhard H. Bakker,American,,1
300,Léon Bakst,Russian,1866.0,18
301,Gerard Baksteen,Dutch,1887.0,1
302,Amèrico Balán,Argentine,1915.0,1
303,Jirí Balcar,Czech,1929.0,23
304,John Baldessari,American,1931.0,112
305,George Baldessin,Australian,1939.0,2
307,C. Leroy Baldridge,American,1889.0,1
308,Édouard-Denis Baldus,French,1813.0,11
309,Benjamin Baldwin,American,1913.0,2
310,Joost Baljeu,Dutch,1925.0,1
311,Giacomo Balla,Italian,1871.0,13
313,R. Maxil Ballinger,American,1914.0,8
