,Source,Target,Weight,Title
61,8218,29711,13,"Sixth Street House project, Santa Monica, California, Isometrics and plan"
62,22884,29711,13,"Sixth Street House project, Santa Monica, California, Isometrics and plan"
63,6956,6957,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
64,6956,7558,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
65,6956,7559,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
66,6957,7558,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
67,6957,7559,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
68,7558,7559,132,"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective"
69,27,24452,37,"Woodland Chapel, Woodland Cemetery, Stockholm, Sweden, Front perspective, sketch"
70,3381,8157,14,"Palace of Italian Civilization, Rome, Italy, Exterior perspective, preliminary version, Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy, Preliminary version: perspective"
71,3381,8158,14,"Palace of Italian Civilization, Rome, Italy, Exterior perspective, preliminary version, Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy, Preliminary version: perspective"
72,8157,8158,14,"Palace of Italian Civilization, Rome, Italy, Exterior perspective, preliminary version, Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy, Preliminary version: perspective"
73,3381,8157,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
74,3381,8158,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
75,8157,8158,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
76,3381,8157,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
77,3381,8158,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
78,8157,8158,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
79,3381,8157,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
80,3381,8158,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
81,8157,8158,14,"Il Palazzo della Civiltà Italiana, Cité EUR, Rome, Italy"
82,6956,6957,132,"Exodus, or the Voluntary Prisoners of Architecture: Prologue"
83,6956,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: Prologue"
84,6956,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Prologue"
85,6957,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: Prologue"
86,6957,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Prologue"
87,7558,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Prologue"
88,6956,6957,132,"Exodus, or the Voluntary Prisoners of Architecture: Exhausted Fugitives Led to Reception"
89,6956,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: Exhausted Fugitives Led to Reception"
90,6956,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Exhausted Fugitives Led to Reception"
91,6957,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: Exhausted Fugitives Led to Reception"
92,6957,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Exhausted Fugitives Led to Reception"
93,7558,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Exhausted Fugitives Led to Reception"
94,6956,6957,132,"Exodus, or the Voluntary Prisoners of Architecture: The Reception Area"
95,6956,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: The Reception Area"
96,6956,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: The Reception Area"
97,6957,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: The Reception Area"
98,6957,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: The Reception Area"
99,7558,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: The Reception Area"
100,6956,6957,132,"Exodus, or the Voluntary Prisoners of Architecture: The Central Area"
101,6956,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: The Central Area"
102,6956,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: The Central Area"
103,6957,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: The Central Area"
104,6957,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: The Central Area"
105,7558,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: The Central Area"
106,6956,6957,132,"Exodus, or the Voluntary Prisoners of Architecture: Training the New Arrivals (Axonometric projection)"
107,6956,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: Training the New Arrivals (Axonometric projection)"
108,6956,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Training the New Arrivals (Axonometric projection)"
109,6957,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: Training the New Arrivals (Axonometric projection)"
110,6957,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Training the New Arrivals (Axonometric projection)"
111,7558,7559,132,"Exodus, or the Voluntary Prisoners of Architecture: Training the New Arrivals (Axonometric projection)"
112,6956,6957,132,"Exodus, or the Voluntary Prisoners of Architecture: The Tip of the Strip"
113,6956,7558,132,"Exodus, or the Voluntary Prisoners of Architecture: The Tip of the Strip"
